AMY2A,P04746,PSMD6,Q15008
ANGPT1,Q15389,PTPN1,P18031
ANGPT2,O15123,RELA,Q04206
ANGPTL2,Q9UKU9,RETN,Q9HD89
ANGPTL3,Q9Y5C1,RNF6,Q9Y252
ANGPTL4,Q9BY76,S100A6,P06703
ANGPTL5,Q86XS5,SCTR,P47872
ANGPTL6,Q8NI99,SFRP4,Q6FHJ7
ANGPTL8,Q6UXH0,SHBG,P04278
ANK1,P16157,SIRT1,Q96EB6
ANK2,Q01484,SLC1A2,P43004
ANKFY1,Q9P2R3,SLC22A3,O75751
ANKH,Q9HCJ1,SLC2A1,P11166
ANKK1,Q8NFD2,SLC2A2,P11168
ANKRD23,Q86SG2,SLC2A4,P14672
ANKRD55,Q3KP44,SLC30A8,Q8IWU4
ANPEP,P15144,SMAD5,Q99717
ANXA1,P04083,SMIM43,Q4W5P6
ANXA5,P08758,SNAP25,P60880
ANXA6,P08133,SOD1,P00441
AOC2,O75106,SOD2,P04179
AOC3,Q16853,SP6,Q3SY56
AP3S1,Q92572,ST6GAL1,P15907
APCS,P02743,TBC1D4,O60343
API5,Q9BZZ5,TCF7L2,Q9NQB0
APLN,Q9ULZ1,TGFB1,P01137
APLNR,P35414,TIMP1,P01033
APOA1,P02647,TMEM18,Q96B42
APOA2,P02652,TNF,P01375
APOA4,P06727,TNFRSF1A,P19438
APOA5,Q6Q788,TNFRSF1B,P20333
APOC2,P02655,UBE2E2,Q96LR5
APOC3,P02656,UCP2,P55851
APOC4,P55056,USP48,Q86UV5
APOD,P05090,VPS26A,O75436
APOE,P02649,WFS1,O76024
APOH,P02749,ZC3HC1,Q86WB0
APOL1,O14791,ZFAND3,Q9H8U3
APOM,O95445,ZNF257,Q9Y2Q1
APP,P05067,,
APPL1,Q9UKG1,,
APLP2,Q06481,,
APPL2,Q8NEU8,,
APRT,P07741,,
AQP11,Q8NBQ7,,
AQP2,P41181,,
AQP5,P55064,,
AQP7,O14520,,
AQP9,O43315,,
AQR,O60306,,
AR,P10275,,
ARAP1,Q96P48,,
NOL3,O60936,,
ARC,Q7LC44,,
ARG1,P05089,,
ARHGAP15,Q53QZ3,,
ARHGAP22,Q7Z5H3,,
ARHGEF11,O15085,,
ARHGEF12,Q9NZN5,,
ARHGEF18,Q6ZSZ5,,
ARID1B,Q8NFD5,,
ARID2,Q68CP9,,
ARID3A,Q99856,,
ARID4B,Q4LE39,,
ARID5B,Q14865,,
ARIH1,Q9Y4X5,,
ARL15,Q9NXU5,,
ARL2BP,Q9Y2Y0,,
ARL3,P36405,,
ARL6,Q9H0F7,,
ARL9,Q6T311,,
ARNT,P27540,,
ARNTL,O00327,,
ARNTL2,Q8WYA1,,
ARR3,P36575,,
ARRB2,P32121,,
GET3,O43681,,
ARSA,P15289,,
ARSL,P51690,,
ARX,Q96QS3,,
ASAH2,Q9NR71,,
ASB3,Q9Y575,,
ASCC2,Q9H1I8,,
ASCL2,Q99929,,
ASIP,P42127,,
ASRGL1,Q7L266,,
ATF6,P18850,,
ATF7IP,Q6VMQ6,,
